Lines of code metrics,domingo, 4 dez. 2022 22:59:46 WET
Method,CLOC,JLOC,LOC,NCLOC,RLOC
accept(File),0,0,4,4,"40,00%"
actionPerformed(ActionEvent),0,0,19,19,"90,48%"
apply(CalendarEvent),0,0,4,4,"66,67%"
apply(DefaultMutableTreeTableNode),0,0,4,4,"66,67%"
"apply(Entry<String, String>)",0,0,4,4,"66,67%"
apply(MutableTreeTableNode),0,0,4,4,"66,67%"
apply(Object),0,0,4,4,"66,67%"
apply(Polygon),0,0,4,4,"66,67%"
apply(ResourceAssignment),0,0,3,3,"60,00%"
apply(Task),0,0,10,10,"83,33%"
"apply(Task, HumanResourceManager)",1,0,4,3,"66,67%"
"apply(Task, Task)",0,0,4,4,"66,67%"
"apply(Task, Task, int)",0,0,4,4,"66,67%"
apply(Type),0,0,4,4,"66,67%"
applyComponentOrientation(ComponentOrientation),0,0,4,4,"66,67%"
applyLocale(Locale),0,0,3,3,"37,50%"
"areUnrelated(Task, Task)",0,0,4,4,"5,26%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.copy(),0,0,4,4,"4,35%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.findClosestWorkingTime(Date),1,0,5,4,"5,43%"
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getActivities(Date, Date)",0,0,4,4,"4,35%"
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getActivities(Date, TimeDuration)",0,0,4,4,"4,35%"
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getActivitiesBackward(Date, TimeUnit, long)",0,0,9,9,"9,78%"
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getActivitiesForward(Date, TimeUnit, long)",0,0,9,9,"9,78%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getBaseCalendarID(),0,0,4,4,"4,35%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getDayMask(Date),0,0,4,4,"4,35%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getEvent(Date),0,0,4,4,"4,35%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getOnlyShowWeekends(),1,0,5,4,"5,43%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getPublicHolidays(),1,0,5,4,"5,43%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.getWeekDayType(int),1,0,5,4,"5,43%"
"biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.importCalendar(GPCalendar, ImportCalendarOption)",0,0,3,3,"3,26%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setBaseCalendarID(String),0,0,3,3,"3,26%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setOnlyShowWeekends(boolean),2,0,5,3,"5,43%"
biz.ganttproject.core.calendar.AlwaysWorkingTimeCalendarImpl.setPublicHolidays(Collection<CalendarEvent>),0,0,3,3,"3,26%"
