Martin packaging metrics,Sun, 4 Dec 2022 22:32:41 WET
Package,A,Ca,Ce,D,I
biz.ganttproject.core.calendar,0.35,42,74,0.01,0.80
biz.ganttproject.core.calendar.walker,0.50,4,18,0.32,0.82
biz.ganttproject.core.chart.canvas,0.21,374,0,0.79,0.00
biz.ganttproject.core.chart.grid,0.29,71,50,0.30,0.34
biz.ganttproject.core.chart.render,0.00,7,128,0.05,0.95
biz.ganttproject.core.chart.scene,0.70,35,163,0.52,0.81
biz.ganttproject.core.chart.scene.gantt,0.40,0,246,0.40,1.00
biz.ganttproject.core.chart.text,0.27,23,68,0.02,0.81
biz.ganttproject.core.model.task,0.33,0,23,0.33,1.00
biz.ganttproject.core.option,0.47,35,5,0.40,0.14
biz.ganttproject.core.table,0.50,23,0,0.50,1.00
biz.ganttproject.core.time,0.41,235,7,0.56,0.03
biz.ganttproject.core.time.impl,0.17,21,98,0.01,0.82
biz.ganttproject.desktop,0.67,0,0,0.33,1.00
biz.ganttproject.impex.csv,0.14,4,403,0.13,0.99
biz.ganttproject.impex.ical,0.00,0,0,1.00,1.00
biz.ganttproject.impex.msproject2,0.20,0,5,0.20,1.00
com.googlecode.ant_deb_task,0.00,53,53,0.50,0.73
net.sourceforge.ganttproject,0.16,"2,800","2,983",0.32,0.51
net.sourceforge.ganttproject.action,0.31,477,128,0.48,0.23
net.sourceforge.ganttproject.action.edit,0.00,14,157,0.08,0.92
net.sourceforge.ganttproject.action.help,0.00,3,54,0.05,0.70
net.sourceforge.ganttproject.action.project,0.07,7,208,0.03,0.97
net.sourceforge.ganttproject.action.resource,0.10,31,206,0.03,0.87
net.sourceforge.ganttproject.action.scroll,0.00,6,58,0.09,0.91
net.sourceforge.ganttproject.action.task,0.19,9,422,0.17,0.98
net.sourceforge.ganttproject.action.view,0.00,6,40,0.13,0.86
net.sourceforge.ganttproject.action.zoom,0.00,12,21,0.36,0.64
net.sourceforge.ganttproject.application,0.00,0,12,0.00,1.00
net.sourceforge.ganttproject.calendar,0.12,8,124,0.06,0.92
net.sourceforge.ganttproject.chart,0.28,422,557,0.15,0.55
net.sourceforge.ganttproject.chart.export,0.25,32,64,0.08,0.67
net.sourceforge.ganttproject.chart.gantt,0.00,34,492,0.06,0.94
net.sourceforge.ganttproject.chart.item,0.00,71,8,0.90,0.10
net.sourceforge.ganttproject.chart.mouse,0.35,35,221,0.22,0.86
net.sourceforge.ganttproject.chart.overview,0.00,77,60,0.56,0.42
net.sourceforge.ganttproject.client,0.00,7,47,0.13,0.87
net.sourceforge.ganttproject.customProperty,0.00,0,0,1.00,1.00
net.sourceforge.ganttproject.document,0.37,216,202,0.15,0.39
net.sourceforge.ganttproject.document.webdav,0.10,15,162,0.02,0.92
net.sourceforge.ganttproject.export,0.25,11,239,0.21,0.96
net.sourceforge.ganttproject.filter,0.00,9,0,1.00,0.00
net.sourceforge.ganttproject.font,0.00,14,0,1.00,0.00
net.sourceforge.ganttproject.gui,0.27,"1,265",670,0.38,0.33
net.sourceforge.ganttproject.gui.about,0.00,6,42,0.12,0.88
net.sourceforge.ganttproject.gui.burndown,0.00,2,42,0.05,0.95
net.sourceforge.ganttproject.gui.options,0.22,201,391,0.12,0.72
net.sourceforge.ganttproject.gui.options.model,1.00,42,26,0.38,0.38
net.sourceforge.ganttproject.gui.projectwizard,0.15,27,115,0.04,0.79
net.sourceforge.ganttproject.gui.scrolling,0.67,14,0,0.33,0.00
net.sourceforge.ganttproject.gui.tableView,0.00,4,122,0.03,0.95
net.sourceforge.ganttproject.gui.taskproperties,0.15,29,332,0.07,0.91
net.sourceforge.ganttproject.gui.view,0.50,44,46,0.01,0.51
net.sourceforge.ganttproject.gui.window,0.00,4,6,0.40,0.56
net.sourceforge.ganttproject.gui.zoom,0.25,62,0,0.75,0.00
net.sourceforge.ganttproject.importer,0.27,30,196,0.14,0.87
net.sourceforge.ganttproject.io,0.05,158,337,0.27,0.66
net.sourceforge.ganttproject.language,0.29,875,7,0.71,0.01
net.sourceforge.ganttproject.parser,0.20,162,253,0.19,0.60
net.sourceforge.ganttproject.plugins,0.00,21,8,0.72,0.28
net.sourceforge.ganttproject.print,0.00,4,78,0.05,0.95
net.sourceforge.ganttproject.resource,0.32,481,155,0.44,0.25
net.sourceforge.ganttproject.roles,0.36,239,36,0.51,0.14
net.sourceforge.ganttproject.search,0.33,8,69,0.23,0.89
net.sourceforge.ganttproject.shape,0.00,4,0,1.00,0.00
net.sourceforge.ganttproject.task,0.33,"2,308",475,0.50,0.16
net.sourceforge.ganttproject.task.algorithm,0.29,206,798,0.08,0.77
net.sourceforge.ganttproject.task.dependency,0.42,582,130,0.40,0.22
net.sourceforge.ganttproject.task.dependency.constraint,0.17,17,250,0.10,0.94
net.sourceforge.ganttproject.task.event,0.33,73,19,0.46,0.21
net.sourceforge.ganttproject.task.hierarchy,0.00,15,4,0.79,0.21
net.sourceforge.ganttproject.test.task,0.11,580,145,0.69,0.20
net.sourceforge.ganttproject.test.task.calendar,0.00,1,54,0.02,0.98
net.sourceforge.ganttproject.test.task.dependency,0.00,0,193,0.00,1.00
net.sourceforge.ganttproject.test.task.event,0.00,18,27,0.40,1.00
net.sourceforge.ganttproject.test.task.hierarchy,0.00,0,89,0.00,1.00
net.sourceforge.ganttproject.test.time,0.00,7,7,0.50,1.00
net.sourceforge.ganttproject.undo,0.50,73,55,0.07,0.43
net.sourceforge.ganttproject.util,0.11,80,11,0.77,0.12
net.sourceforge.ganttproject.util.collect,0.00,149,0,1.00,0.00
net.sourceforge.ganttproject.wizard,0.50,20,50,0.21,0.70
org.ganttproject,0.00,0,0,1.00,1.00
org.ganttproject.chart,1.00,125,2,0.02,0.02
org.ganttproject.chart.burndownchart,0.17,98,198,0.16,0.74
org.ganttproject.chart.pert,0.12,288,288,0.38,0.72
org.ganttproject.chart.planner,0.00,85,108,0.44,0.19
org.ganttproject.impex.htmlpdf,0.40,127,113,0.13,0.43
org.ganttproject.impex.htmlpdf.fonts,0.25,34,16,0.43,0.39
org.ganttproject.impex.htmlpdf.itext,0.14,79,114,0.27,0.70
org.w3c.util,0.00,10,0,1.00,0.00

