Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
BooleanDefaultValue.BooleanDefaultValue(),1,n/a,n/a,n/a
BooleanDefaultValue.commit(),1,n/a,n/a,n/a
BooleanDefaultValue.setValue(Boolean),0,n/a,n/a,n/a
"CellRendererImpl.getTableCellRendererComponent(JTable, Object, boolean, boolean, int, int)",5,n/a,n/a,n/a
"ChartImageVisitorImpl.acceptChart(ChartDimensions, ChartModel)",1,n/a,n/a,n/a
"ChartImageVisitorImpl.acceptLogo(ChartDimensions, Image)",1,n/a,n/a,n/a
"ChartImageVisitorImpl.acceptTable(ChartDimensions, Component, Component)",1,n/a,n/a,n/a
ChartImageVisitorImpl.getGraphics(ChartDimensions),1,n/a,n/a,n/a
DateDefaultValue.DateDefaultValue(),0,n/a,n/a,n/a
DateDefaultValue.commit(),1,n/a,n/a,n/a
DateDefaultValue.setValue(Date),0,n/a,n/a,n/a
DoubleDefaultValue.DoubleDefaultValue(),0,n/a,n/a,n/a
DoubleDefaultValue.commit(),1,n/a,n/a,n/a
DoubleDefaultValue.setValue(Double),0,n/a,n/a,n/a
"Filter.run(Function<CustomPropertyDefinition, String>)",2,n/a,n/a,n/a
"Filter.run0(Function<CustomPropertyDefinition, S>)",5,n/a,n/a,n/a
IntegerDefaultValue.IntegerDefaultValue(),0,n/a,n/a,n/a
IntegerDefaultValue.commit(),1,n/a,n/a,n/a
IntegerDefaultValue.setValue(Integer),0,n/a,n/a,n/a
MouseListenerImpl.actionPerformed(ActionEvent),0,n/a,n/a,n/a
MouseListenerImpl.mousePressed(MouseEvent),1,n/a,n/a,n/a
MouseListenerImpl.mouseReleased(MouseEvent),1,n/a,n/a,n/a
MyComboBox.MyComboBox(Action[]),3,n/a,n/a,n/a
MyComboBox.formatActionName(Action),0,n/a,n/a,n/a
MyComboBox.getActionName(Action),0,n/a,n/a,n/a
MyComboBox.getButton(),0,n/a,n/a,n/a
MyComboBox.getPreferredSize(),3,n/a,n/a,n/a
MyComboBox.onMouseClicked(MouseEvent),2,n/a,n/a,n/a
MyComboBox.resetPreferredSize(),0,n/a,n/a,n/a
MyComboBox.setSelectedAction(Action),0,n/a,n/a,n/a
MyComboBox.setText(String),0,n/a,n/a,n/a
MyComboBox.showPopup(),1,n/a,n/a,n/a
OptionValueUpdater.actionPerformed(ActionEvent),0,n/a,n/a,n/a
OptionValueUpdater.propertyChange(PropertyChangeEvent),2,n/a,n/a,n/a
"ShowHideSelectionAction.ShowHideSelectionAction(boolean, String)",0,n/a,n/a,n/a
ShowHideSelectionAction.actionPerformed(ActionEvent),1,n/a,n/a,n/a
ShowHideSelectionAction.selectionChanged(List<CustomPropertyDefinition>),11,n/a,n/a,n/a
TaskManagerConfigImpl.getCalendar(),0,n/a,n/a,n/a
TaskManagerConfigImpl.getDefaultColor(),0,n/a,n/a,n/a
TaskManagerConfigImpl.getDefaultColorOption(),0,n/a,n/a,n/a
TaskManagerConfigImpl.getNotificationManager(),0,n/a,n/a,n/a
TaskManagerConfigImpl.getProjectDocumentURL(),1,n/a,n/a,n/a
TaskManagerConfigImpl.getResourceManager(),0,n/a,n/a,n/a
TaskManagerConfigImpl.getTimeUnitStack(),0,n/a,n/a,n/a
TextDefaultValue.TextDefaultValue(),0,n/a,n/a,n/a
TextDefaultValue.commit(),1,n/a,n/a,n/a
TextDefaultValue.setValue(String),0,n/a,n/a,n/a
accept(File),1,1,1,1
"accept(File, String)",0,n/a,n/a,n/a
accept(List<SearchResult<?>>),0,n/a,n/a,n/a
actionPerformed(ActionEvent),0,1,1,1
add(Action),0,n/a,n/a,n/a
add(DateInterval),0,n/a,n/a,n/a
"add(String, int, int)",0,n/a,n/a,n/a
"addHoliday(Date, Optional<String>)",0,n/a,n/a,n/a
"addTab(String, Icon, Component)",0,n/a,n/a,n/a
"addYearlyHoliday(Date, Optional<String>)",0,n/a,n/a,n/a
adjustDependencies(Task),3,n/a,n/a,n/a
apply(CalendarEvent),0,1,1,1
apply(Color),0,n/a,n/a,n/a
apply(ColumnImpl),0,n/a,n/a,n/a
apply(CustomPropertyDefinition),0,n/a,n/a,n/a
apply(Date),0,n/a,n/a,n/a
apply(DefaultMutableTreeTableNode),0,1,1,1
"apply(Entry<String, String>)",0,1,1,1
apply(Enum),0,n/a,n/a,n/a
apply(GPCalendar),0,n/a,n/a,n/a
apply(GPOption<?>),0,n/a,n/a,n/a
apply(HumanResource),0,n/a,n/a,n/a
apply(Integer),0,n/a,n/a,n/a
apply(JComponent),0,n/a,n/a,n/a
apply(List<CalendarEvent>),2,n/a,n/a,n/a
apply(List<CustomPropertyDefinition>),3,n/a,n/a,n/a
apply(List<T>),3,n/a,n/a,n/a
apply(MutableTreeTableNode),1,1,2,2
apply(Object),0,1,1,1
"apply(Pair<MutableTreeTableNode, MutableTreeTableNode>)",0,n/a,n/a,n/a
"apply(Pair<Task, Task>)",0,n/a,n/a,n/a
apply(Polygon),0,1,1,1
apply(Rectangle),0,n/a,n/a,n/a
apply(Resource),0,n/a,n/a,n/a
apply(ResourceAssignment),0,1,1,1
apply(String),4,n/a,n/a,n/a
apply(Task),0,1,1,1
"apply(Task, HumanResourceManager)",0,1,1,1
"apply(Task, Task)",0,1,1,1
"apply(Task, Task, int)",0,1,1,1
apply(TaskDependency),7,n/a,n/a,n/a
apply(TimeUnit),0,n/a,n/a,n/a
apply(Type),0,1,1,1
applyComponentOrientation(ComponentOrientation),0,1,1,1
